iter	Passed	Remaining
276	6723	17548
277	6754	17543
278	6783	17530
279	6803	17493
280	6825	17465
281	6851	17444
282	6875	17420
283	6903	17404
284	6926	17377
285	6954	17361
286	6981	17345
287	7008	17326
288	7028	17291
289	7053	17269
290	7128	17367
291	7183	17416
292	7213	17406
293	7246	17402
294	7261	17353
295	7291	17341
296	7323	17335
297	7353	17321
298	7383	17310
299	7407	17284
300	7427	17249
301	7448	17215
302	7471	17186
303	7486	17140
304	7507	17108
305	7536	17092
306	7544	17030
307	7556	16977
308	7573	16935
309	7592	16899
310	7614	16870
311	7631	16827
312	7642	16774
313	7666	16748
314	7684	16710
315	7696	16659
316	7715	16624
317	7733	16585
318	7770	16587
319	7798	16571
320	7826	16554
321	7853	16536
322	7884	16526
323	7907	16498
324	7933	16477
325	7962	16462
326	7989	16442
327	8019	16429
328	8058	16435
329	8084	16414
330	8104	16379
331	8130	16359
332	8157	16339
333	8185	16322
334	8208	16295
335	8235	16274
336	8261	16253
337	8284	16226
338	8311	16206
339	8342	16193
340	8358	16152
341	8381	16125
342	8413	16116
343	8441	16097
344	8474	16089
345	8538	16139
346	8599	16182
347	8641	16190
348	8688	16206
349	8732	16217
350	8753	16185
351	8775	16154
352	8812	16151
353	8847	16146
354	8873	16122
355	8911	16121
356	8939	16100
357	8978	16100
358	9020	16105
359	9054	16096
360	9082	16075
361	9105	16048
362	9134	16030
363	9164	16012
364	9303	16185
365	9334	16170
366	9371	16164
367	9406	16154
368	9434	16133
369	9463	16113
370	9499	16106
371	9532	16093
372	9575	16095
373	9619	16100
374	9646	16077
375	9670	16048
376	9691	16016
377	9719	15993
378	9748	15973
379	9777	15952
380	9810	15938
381	9844	15926
382	9866	15894
383	9891	15867
384	9916	15839
385	9943	15816
386	9969	15790
387	9992	15761
388	10009	15721
389	10028	15686
390	10047	15648
391	10064	15610
392	10081	15571
393	10103	15540
394	10126	15509
395	10143	15471
396	10166	15441
397	10191	15414
398	10218	15391
399	10248	15373
400	10289	15369
401	10320	15351
402	10349	15331
403	10378	15311
